rebalance_date,overall_tradable_nav,overall_basket_level,overall_cash_weight,overall_price_coverage_share,n_baskets,total_entries,total_exits,total_turnover,rebalanced_baskets
2022-01-01,100.00000000000001,100.00000000000001,1.0,1.0,10,0,0,0.0,10
2022-01-02,100.00000000000001,100.00000000000001,1.0,1.0,10,0,0,0.0,10
2022-01-03,100.00000000000001,100.00000000000001,1.0,1.0,10,0,0,0.0,10
2022-01-04,100.00000000000001,100.00000000000001,1.0,1.0,10,0,0,0.0,10
2022-01-05,100.00000000000001,100.00000000000001,1.0,1.0,10,0,0,0.0,10
2022-01-06,100.00000000000001,100.00000000000001,1.0,1.0,10,0,0,0.0,10
2022-01-07,100.00000000000001,100.00000000000001,1.0,1.0,10,0,0,0.0,10
2022-01-08,100.00000000000001,100.00000000000001,1.0,1.0,10,0,0,0.0,10
2022-01-09,100.00000000000001,100.00000000000001,1.0,1.0,10,0,0,0.0,10
2022-01-10,100.00000000000001,100.00000000000001,1.0,1.0,10,0,0,0.0,10
2022-01-11,100.00000000000001,100.00000000000001,1.0,1.0,10,0,0,0.0,10
2022-01-12,100.00000000000001,100.00000000000001,1.0,1.0,10,0,0,0.0,10
2022-01-13,100.00000000000001,100.00000000000001,1.0,1.0,10,0,0,0.0,10
2022-01-14,100.00000000000001,100.00000000000001,1.0,1.0,10,0,0,0.0,10
2022-01-15,100.00000000000001,100.00000000000001,1.0,1.0,10,0,0,0.0,10
2022-01-16,100.00000000000001,100.00000000000001,1.0,1.0,10,0,0,0.0,10
2022-01-17,100.00000000000001,100.00000000000001,1.0,1.0,10,0,0,0.0,10
2022-01-18,100.00000000000001,100.00000000000001,1.0,1.0,10,0,0,0.0,10
2022-01-19,100.00000000000001,100.00000000000001,1.0,1.0,10,0,0,0.0,10
2022-01-20,100.00000000000001,100.00000000000001,1.0,1.0,10,0,0,0.0,10
2022-01-21,100.00000000000001,100.00000000000001,1.0,1.0,10,0,0,0.0,10
2022-01-22,100.00000000000001,100.00000000000001,1.0,1.0,10,0,0,0.0,10
2022-01-23,100.00000000000001,100.00000000000001,1.0,1.0,10,0,0,0.0,10
2022-01-24,100.00000000000001,100.00000000000001,1.0,1.0,10,0,0,0.0,10
2022-01-25,100.00000000000001,100.00000000000001,1.0,1.0,10,0,0,0.0,10
2022-01-26,100.00000000000001,100.00000000000001,1.0,1.0,10,0,0,0.0,10
2022-01-27,100.00000000000001,100.00000000000001,1.0,1.0,10,0,0,0.0,10
2022-01-28,100.00000000000001,100.00000000000001,1.0,1.0,10,0,0,0.0,10
2022-01-29,100.00000000000001,100.00000000000001,1.0,1.0,10,0,0,0.0,10
2022-01-30,100.00000000000001,100.00000000000001,1.0,1.0,10,0,0,0.0,10
2022-01-31,100.00000000000001,100.00000000000001,1.0,1.0,10,0,0,0.0,10
2022-02-01,100.00000000000001,100.00000000000001,1.0,0.550328853302831,10,0,0,0.0,10
2022-02-02,100.00000000000001,100.00000000000001,1.0,0.550328853302831,10,0,0,0.0,10
2022-02-03,100.00000000000001,100.00000000000001,1.0,0.550328853302831,10,0,0,0.0,10
2022-02-04,100.00000000000001,100.00000000000001,1.0,0.550328853302831,10,0,0,0.0,10
2022-02-05,100.00000000000001,100.00000000000001,1.0,0.550328853302831,10,0,0,0.0,10
2022-02-06,100.00000000000001,100.00000000000001,1.0,0.550328853302831,10,0,0,0.0,10
2022-02-07,100.00000000000001,100.00000000000001,1.0,0.550328853302831,10,0,0,0.0,10
2022-02-08,100.00000000000001,100.00000000000001,1.0,0.550328853302831,10,0,0,0.0,10
2022-02-09,100.00000000000001,100.00000000000001,1.0,0.550328853302831,10,0,0,0.0,10
2022-02-10,100.00000000000001,100.00000000000001,1.0,0.550328853302831,10,0,0,0.0,10
2022-02-11,100.00000000000001,100.00000000000001,1.0,0.550328853302831,10,0,0,0.0,10
2022-02-12,100.00000000000001,100.00000000000001,1.0,0.550328853302831,10,0,0,0.0,10
2022-02-13,100.00000000000001,100.00000000000001,1.0,0.550328853302831,10,0,0,0.0,10
2022-02-14,100.00000000000001,100.00000000000001,1.0,0.550328853302831,10,0,0,0.0,10
2022-02-15,100.00000000000001,100.00000000000001,1.0,0.550328853302831,10,0,0,0.0,10
2022-02-16,100.00000000000001,100.00000000000001,1.0,0.550328853302831,10,0,0,0.0,10
2022-02-17,100.00000000000001,100.00000000000001,1.0,0.550328853302831,10,0,0,0.0,10
2022-02-18,100.00000000000001,100.00000000000001,1.0,0.550328853302831,10,0,0,0.0,10
2022-02-19,100.00000000000001,100.00000000000001,1.0,0.550328853302831,10,0,0,0.0,10
2022-02-20,100.00000000000001,100.00000000000001,1.0,0.550328853302831,10,0,0,0.0,10
2022-02-21,100.00000000000001,100.00000000000001,1.0,0.550328853302831,10,0,0,0.0,10
2022-02-22,100.00000000000001,100.00000000000001,1.0,0.550328853302831,10,0,0,0.0,10
2022-02-23,100.00000000000001,100.00000000000001,1.0,0.550328853302831,10,0,0,0.0,10
2022-02-24,100.00000000000001,100.00000000000001,1.0,0.550328853302831,10,0,0,0.0,10
2022-02-25,100.00000000000001,100.00000000000001,1.0,0.550328853302831,10,0,0,0.0,10
2022-02-26,100.00000000000001,100.00000000000001,1.0,0.550328853302831,10,0,0,0.0,10
2022-02-27,100.00000000000001,100.00000000000001,1.0,0.550328853302831,10,0,0,0.0,10
2022-02-28,100.00000000000001,100.00000000000001,1.0,0.550328853302831,10,0,0,0.0,10
2022-03-01,100.00000000000001,100.00000000000001,1.0,0.48217519778858076,10,0,0,0.0,10
2022-03-02,100.00000000000001,100.00000000000001,1.0,0.48217519778858076,10,0,0,0.0,10
2022-03-03,100.00000000000001,100.00000000000001,1.0,0.48217519778858076,10,0,0,0.0,10
2022-03-04,100.00000000000001,100.00000000000001,1.0,0.48217519778858076,10,0,0,0.0,10
2022-03-05,100.00000000000001,100.00000000000001,1.0,0.48217519778858076,10,0,0,0.0,10
2022-03-06,100.00000000000001,100.00000000000001,1.0,0.48217519778858076,10,0,0,0.0,10
2022-03-07,100.00000000000001,100.00000000000001,1.0,0.48217519778858076,10,0,0,0.0,10
