rebalance_date,domain,basket_code,basket_name,avg_days_to_expiry,expiring_30d_share,expiring_60d_share,certainty_share,turnover,base_cost_bps,turnover_component_bps,expiry_component_bps,certainty_component_bps,estimated_total_cost_bps,estimated_cost_drag_return,cash_weight
2022-02-01,GENERAL,ADIT-X3,Major Economy Recession,38.0,0.75,0.75,,0.45,18.0,15.75,12.0,0.0,45.75,0.0020587500000000002,0.22999999999999998
2022-02-01,GENERAL,ADIT-X4,Pandemic & Health Crisis,39.666666666666664,0.3333333333333333,0.9333333333333333,,0.4499999999999999,18.0,15.749999999999996,8.933333333333334,0.0,42.68333333333334,0.0019207499999999995,0.18
2022-02-01,POLITICAL,ADIT-P3,EU Breakup Risk,22.0,1.0,1.0,,0.44999999999999996,18.0,15.749999999999998,16.0,0.0,49.75,0.00223875,0.22999999999999998
2022-02-01,POLITICAL,ADIT-P4,US Governance,333.0,0.0,0.0,,0.45,18.0,15.75,0.0,0.0,33.75,0.00151875,0.22999999999999998
2022-03-01,CONFLICT,ADIT-S2,Europe War & NATO Conflict,27.5,0.5,1.0,,0.45,18.0,15.75,11.0,0.0,44.75,0.00201375,0.22999999999999998
2022-03-01,CONFLICT,ADIT-S4,US-China Conflict Escalation,31.0,0.0,1.0,,0.45,18.0,15.75,6.0,0.0,39.75,0.00178875,0.22999999999999998
2022-03-01,GENERAL,ADIT-X3,Major Economy Recession,58.0,0.0,1.0,,0.6425000000000001,18.0,22.487500000000004,6.0,0.0,46.487500000000004,0.0029868218750000006,0.22999999999999998
2022-03-01,GENERAL,ADIT-X4,Pandemic & Health Crisis,52.333333333333336,0.0,0.8333333333333334,,0.7778836879432626,18.0,27.22592907801419,5.0,0.0,50.22592907801419,0.003906993094158243,0.22999999999999998
2022-03-01,POLITICAL,ADIT-P1,China Governance,31.0,0.0,1.0,,0.45,18.0,15.75,6.0,0.0,39.75,0.00178875,0.22999999999999998
2022-03-01,POLITICAL,ADIT-P4,US Governance,305.0,0.0,0.0,,0.6425000000000001,18.0,22.487500000000004,0.0,0.0,40.487500000000004,0.0026013218750000006,0.22999999999999998
2022-04-01,CONFLICT,ADIT-S2,Europe War & NATO Conflict,101.41666666666667,0.25,0.4166666666666667,,0.8350000000000001,18.0,29.225,5.0,0.0,52.225,0.004360787500000001,0.22
2022-04-01,GENERAL,ADIT-X3,Major Economy Recession,27.0,1.0,1.0,,0.065,18.0,2.275,16.0,0.0,36.275,0.0002357875,0.1643
2022-04-01,GENERAL,ADIT-X4,Pandemic & Health Crisis,93.33333333333333,0.0,0.3333333333333333,,0.7066666666666667,18.0,24.733333333333334,2.0,0.0,44.733333333333334,0.0031611555555555552,0.22999999999999998
2022-04-01,POLITICAL,ADIT-P3,EU Breakup Risk,121.0,0.0,0.0,,0.45,18.0,15.75,0.0,0.0,33.75,0.00151875,0.22999999999999998
2022-04-01,POLITICAL,ADIT-P4,US Governance,274.0,0.0,0.0,,0.535,18.0,18.725,0.0,0.0,36.725,0.0019647875,0.22999999999999998
2022-05-01,CONFLICT,ADIT-S2,Europe War & NATO Conflict,99.9090909090909,0.18181818181818182,0.45454545454545453,,0.3314355883762827,18.0,11.600245593169893,4.545454545454545,0.0,34.14570013862444,0.0011317100215965108,0.2229158294427822
2022-05-01,CONFLICT,ADIT-S4,US-China Conflict Escalation,31.0,0.0,1.0,,0.45,18.0,15.75,6.0,0.0,39.75,0.00178875,0.22999999999999998
2022-05-01,GENERAL,ADIT-X4,Pandemic & Health Crisis,111.5,0.0,0.16666666666666666,,0.535,18.0,18.725,1.0,0.0,37.725,0.0020182875000000003,0.22999999999999998
2022-05-01,POLITICAL,ADIT-P1,China Governance,245.0,0.0,0.0,,0.45,18.0,15.75,0.0,0.0,33.75,0.00151875,0.22999999999999998
2022-05-01,POLITICAL,ADIT-P3,EU Breakup Risk,71.0,0.0,0.3333333333333333,,0.23500000000000001,18.0,8.225,2.0,0.0,28.225,0.0006632875,0.2017
2022-05-01,POLITICAL,ADIT-P4,US Governance,244.0,0.0,0.0,,0.5783333333333334,18.0,20.241666666666667,0.0,0.0,38.24166666666667,0.0022116430555555555,0.22999999999999998
2022-06-01,CONFLICT,ADIT-S2,Europe War & NATO Conflict,108.57142857142857,0.2857142857142857,0.5714285714285714,,0.26480447963419096,18.0,9.268156787196684,6.285714285714285,0.0,33.553871072910965,0.0008885215369174921,0.20825698551952204
